ID号,用户标识,月,姓名,年龄,职业,年收入,月基本工资,银行账户数,信用卡数,信用卡利率,获得的贷款数量,贷款类型,平均延迟付款天数,平均延迟付款次数,信用卡限额变化率,信用卡查询次数,剩余债务,信用卡使用率,信用年龄,仅还款最低金额,月投资额,付款行为,月余额,评分等级
1,CUS0xfd1,August,Frewy,32,Architect,78666.57,6485.5475,3,4,17,4,"Not Specified, Personal Loan, Home Equity Loan, and Debt Consolidation Loan",29,10,-5.37,3,1498.7,37.83176162,22 Years and 5 Months,No,252.3461368,HighspentSmallvaluepayments,408.3574685,2
2,CUS0x5c28,June,Leahe,29,Doctor,105565.65,8643.1375,1,3,11,663,Not Specified,15,7,7.2,6,440.91,39.69085167,27 Years and 7 Months,No,552.3918363,HighspentSmallvaluepayments,522.313045,2
3,CUS0x4cae,January,Carey Gillamm,23,Writer,77832.74,6234.061667,5,4,5,3,"Payday Loan, Not Specified, and Not Specified",24,12,6.01,0,454.41,35.86567107,24 Years and 7 Months,NM,369.0377498,HighspentSmallvaluepayments,361.6343554,1
4,CUS0x4dff,June,Stella Dawsonq,23,Scientist,27131.57,2273.964167,4,4,11,2,"Auto Loan, and Auto Loan",15,15,7.02,8,783.37,33.95387358,17 Years and 7 Months,Yes,17.76294259,HighspentLargevaluepayments,426.5488151,2
5,CUS0xb1f8,June,Kuehnene,47,Writer,95858.31,8019.1925,3,6,6,2,"Auto Loan, and Not Specified",25,11,6.89,3,345.07,26.91478009,24 Years and 10 Months,No,251.4283237,LowspentLargevaluepayments,670.6900062,2
6,CUS0x3ae9,July,Annf,34,Scientist,118047.92,9818.326667,2,2,1,3,"Personal Loan, Debt Consolidation Loan, and Payday Loan",12,0,6.83,7,776.18,29.70984588,30 Years and 11 Months,No,105.2179239,!@9#%8,903.5390682,2
7,CUS0x48e5,June,Foo Yuny,46,Accountant,107068.92,8657.41,3,3,5,3,"Student Loan, Mortgage Loan, and Home Equity Loan",7,13,8.69,7,122.31,41.30579996,18 Years and 2 Months,Yes,134.0595317,HighspentLargevaluepayments,759.8105401,2
8,CUS0xa7b8,June,rian Rohanv,41,Entrepreneur,25856.84,1978.736667,3,7,1,3,"Not Specified, Debt Consolidation Loan, and Debt Consolidation Loan",12,15,8.22,5,586.46,25.46607027,17 Years and 10 Months,No,32.27526342,HighspentMediumvaluepayments,356.8719372,2
9,CUS0x2bf3,May,Suen,47,Scientist,122658.64,10020.55333,8,3,14,2,"Debt Consolidation Loan, and Debt Consolidation Loan",30,10,11.98,2,210.65,34.17097154,30 Years and 5 Months,No,80.66697115,HighspentLargevaluepayments,1005.978222,2
10,CUS0x1eea,January,Madelinew,29,Journalist,8439.33,554.2775,6,9,15,6,"Credit-Builder Loan, Student Loan, Personal Loan, Not Specified, Payday Loan, and Auto Loan",28,25,16.6,9,1414.43,23.01778177,19 Years and 1 Months,Yes,31.59991508,LowspentMediumvaluepayments,268.4839602,1
11,CUS0x2598,March,,48,Entrepreneur,123299.12,10209.92667,2,2,8,3,"Not Specified, Credit-Builder Loan, and Credit-Builder Loan",12,1,11.26,2,845.47,43.90296255,19 Years and 5 Months,No,158.8511948,HighspentLargevaluepayments,812.669167,3
12,CUS0xb14f,April,Luke Jeffsu,33,Writer,27694.66,2490.888333,7,707,10,2,"Auto Loan, and Debt Consolidation Loan",35,19,6.69,3,1376.27,32.64719432,24 Years and 7 Months,Yes,40.55524927,HighspentMediumvaluepayments,413.1582701,3
13,CUS0x9337,June,Sineads,35,Accountant,87502.05,7589.8375,4,3,10,4,"Student Loan, Home Equity Loan, Auto Loan, and Student Loan",29,12,9.42,4,1291.41,37.69239231,28 Years and 8 Months,No,,LowspentMediumvaluepayments,105.6990394,3
14,CUS0x74e9,March,Chuckh,41,Lawyer,38842.5,3136.875,5,7,9,4,"Credit-Builder Loan, Credit-Builder Loan, Home Equity Loan, and Not Specified",21,11,6.33,8,1662.17,30.56496282,12 Years and 10 Months,Yes,152.8036086,HighspentSmallvaluepayments,305.8351198,2
15,CUS0x2a11,February,Bullg,24,,167787.16,,5,4,10,3,"Personal Loan, Not Specified, and Not Specified",3,2,8.56,1,1357.9,36.41166348,15 Years and 10 Months,No,536.0394845,HighspentSmallvaluepayments,705.6148111,2
16,CUS0x4ba1,April,Zeidlery,624,Engineer,70705.88,6034.156667,6,9,16,6,"Personal Loan, Credit-Builder Loan, Personal Loan, Home Equity Loan, Payday Loan, and Payday Loan",21,16,17.81,8,2207.69,35.64802472,13 Years and 5 Months,Yes,10000,LowspentSmallvaluepayments,,1
17,CUS0x5b2a,April,Strupczewskid,36,Mechanic,142974.96,11698.58,2,4,5,3,"Debt Consolidation Loan, Personal Loan, and Home Equity Loan",14,14,7.27,0,443.62,33.53258145,24 Years and 1 Months,NM,389.0221604,LowspentMediumvaluepayments,832.6732599,2
18,CUS0x6b35,May,Berkowitzf,19,Developer,7908.935,644.0779167,9,5,32,3,"Mortgage Loan, Home Equity Loan, and Auto Loan",36,16,5.73,8,1840.31,38.05796732,,Yes,85.59291762,LowspentSmallvaluepayments,250.6363676,1
19,CUS0xa5f9,March,Rickt,34,Mechanic,57983.12,4720.926667,9,8,31,8,"Payday Loan, Not Specified, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, Not Specified, Student Loan, and Student Loan",48,,7.27,17,3532.83,37.81024309,12 Years and 4 Months,Yes,534.3581784,LowspentSmallvaluepayments,27.30187488,1
20,CUS0x5cc6,January,ewichx,34,Lawyer,104917.74,8526.145,5,4,9,2,"Not Specified, and Debt Consolidation Loan",16,4,2.1,3,460.58,32.47688399,20 Years and 4 Months,No,116.509678,HighspentLargevaluepayments,802.1693216,2
21,CUS0x9cc3,April,Siddhartho,27,Teacher,48657.42,3979.785,6,6,15,6,"Personal Loan, Personal Loan, Not Specified, Student Loan, Student Loan, and Mortgage Loan",58,22,,10,2284.08,29.51689378,,Yes,207.6196671,HighspentSmallvaluepayments,317.7461539,1
22,CUS0x6579,February,,15,,19536.45,1611.0375,10,7,22,8,"Student Loan, Not Specified, Personal Loan, Debt Consolidation Loan, Student Loan, Student Loan, Credit-Builder Loan, and Personal Loan",38,20,8.37,12,2623.94,38.27445813,5 Years and 9 Months,Yes,51.56678832,LowspentMediumvaluepayments,287.9722229,1
23,CUS0x2c81,May,,44,,14954.745,1331.22875,6,4,20,6,"Not Specified, Mortgage Loan, Payday Loan, Mortgage Loan, Mortgage Loan, and Student Loan",12,13,14.91,5,255.76,32.84924845,17 Years and 11 Months,Yes,97.82451801,LowspentSmallvaluepayments,270.9306154,2
24,CUS0x70f7,January,Daniel Flynnd,38,MediaManager,94092.36,7644.03,3,6,17,4,"Mortgage Loan, Payday Loan, Not Specified, and Payday Loan",18,19,14.93,8,1338.47,29.50409936,26 Years and 1 Months,Yes,298.6874,HighspentMediumvaluepayments,416.1392589,2
25,CUS0x797a,March,Wohlh,18,MediaManager,160016.44,13477.70333,2,5,3177,1,Credit-Builder Loan,2,3,0.85,1,1123.32,38.4366114,22 Years and 5 Months,No,100.2303352,HighspentLargevaluepayments,1400.658458,3
26,CUS0xb33a,February,Wolfi,18,Teacher,16360.215,1410.35125,3,6,18,4,"Auto Loan, Credit-Builder Loan, Not Specified, and Not Specified",27,10,15.52,6,453.29,38.50951131,27 Years and 5 Months,Yes,136.804588,LowspentSmallvaluepayments,255.4339788,2
27,CUS0x3243,March,Vignaln,21,,40377.89,3206.824167,5,7,2,4,"Auto Loan, Debt Consolidation Loan, Not Specified, and Not Specified",15,6,6.35,4,1410.14,38.16598328,28 Years and 0 Months,No,297.5353679,LowspentLargevaluepayments,174.0073119,1
28,CUS0x2e1d,August,Nanette Byrness,18,Accountant,53251.36,4636.613333,5,3,20,3,"Debt Consolidation Loan, Credit-Builder Loan, and Payday Loan",30,11,19.82,9,861.67,38.48759482,27 Years and 5 Months,Yes,241.8932716,LowspentMediumvaluepayments,373.5582175,3
29,CUS0x6556,May,Anurags,39,Developer,161063.8,13689.98333,3,3,7,-100,"Student Loan, Home Equity Loan, and Payday Loan",9,11,9.77,3,1193.64,37.61278367,20 Years and 2 Months,No,203.4373834,HighspentLargevaluepayments,1176.274694,3
30,CUS0x53bc,July,Stempelf,50,Teacher,160454.04,13627.17,3,7,2,2,"Not Specified, and Payday Loan",2,0,2.63,2,773.94,39.19294676,26 Years and 1 Months,NM,915.1595849,LowspentLargevaluepayments,548.8379156,2
31,CUS0x8f68,July,Tom Berginu,2221,Musician,82659.32,,10,7,32,-100,"Payday Loan, Payday Loan, Payday Loan, Home Equity Loan, Home Equity Loan, Credit-Builder Loan, Not Specified, Personal Loan, and Student Loan",63,19,24.59,1899,3492.03,28.12500637,,Yes,669.9951396,LowspentSmallvaluepayments,,1
32,CUS0xc700,May,Edwardh,38,Lawyer,32072.42,2768.701667,4,7,1,3,"Payday Loan, Credit-Builder Loan, and Auto Loan",6,9,6.11,1,441,31.47322645,20 Years and 8 Months,No,,LowspentLargevaluepayments,378.0688473,1
33,CUS0x8812,February,Nate Raymonda,28,Musician,31170.53,,1,5,6,2,"Mortgage Loan, and Mortgage Loan",12,6,7.55,0,462.11,36.37678738,24 Years and 9 Months,No,29.61642752,HighspentLargevaluepayments,460.8063465,2
34,CUS0xe7a,July,Richard Cowang,32,Lawyer,7711.97,395.6641667,10,5,29,7,"Debt Consolidation Loan, Home Equity Loan, Personal Loan, Debt Consolidation Loan, Payday Loan, Mortgage Loan, and Auto Loan",57,,25.08,10,4709.03,30.49504187,0 Years and 10 Months,Yes,39.15936356,LowspentSmallvaluepayments,260.8467533,1
35,CUS0x8e81,June,Mattc,39,Mechanic,67039.6,5869.633333,7,3,10,7,"Mortgage Loan, Home Equity Loan, Payday Loan, Student Loan, Home Equity Loan, Auto Loan, and Not Specified",8,18,10.41,4,874.79,30.82611822,8 Years and 1 Months,NM,124.7933759,!@9#%8,398.8782178,2
36,CUS0x3264,July,Rodrigog,48,,20662.84,1663.903333,3,3,5,4,"Not Specified, Not Specified, Home Equity Loan, and Mortgage Loan",16,13,7.23,4,699.36,24.22057502,18 Years and 5 Months,No,45.82417087,LowspentMediumvaluepayments,360.6572681,2
37,CUS0x4636,June,Kentaro Sugiyamax,35,Accountant,57196.56,4838.38,6,3,17,3,"Home Equity Loan, Not Specified, and Credit-Builder Loan",12,3050,7.53,4,1269.7,26.97289399,19 Years and 2 Months,Yes,653.1670504,LowspentSmallvaluepayments,46.36646516,1
38,CUS0x2526,May,Marques Janemand,17,Teacher,15286.16,,6,9,20,-100,"Home Equity Loan, Home Equity Loan, Debt Consolidation Loan, Payday Loan, Personal Loan, Home Equity Loan, and Personal Loan",32,17,19.58,10,2625.65,37.96888929,7 Years and 8 Months,NM,169.5867426,LowspentSmallvaluepayments,183.862846,2
39,CUS0x56ef,July,Billf,20,Mechanic,15867.45,1468.2875,10,10,22,2,"Payday Loan, and Student Loan",21,14,13.02,8,1773.9,31.21061655,17 Years and 10 Months,Yes,122.1177317,LowspentMediumvaluepayments,286.3682067,1
40,CUS0x31c0,January,Woodalle,15,Manager,59931.4,4828.283333,9,5,20,9,"Debt Consolidation Loan, Mortgage Loan, Credit-Builder Loan, Mortgage Loan, Auto Loan, Student Loan, Mortgage Loan, Personal Loan, and Not Specified",44,17,20.92,12,3776.3,27.73413297,1 Years and 9 Months,Yes,121.2377461,HighspentSmallvaluepayments,230.7356782,1
41,CUS0xbc3a,May,Julieno,34,Scientist,7363.13,695.5941667,10,9,16,8,"Student Loan, Payday Loan, Debt Consolidation Loan, Student Loan, Debt Consolidation Loan, Mortgage Loan, Auto Loan, and Payday Loan",24,24,0.71,13,3599.87,25.51324297,13 Years and 0 Months,Yes,37.77197142,LowspentMediumvaluepayments,269.5844752,1
42,CUS0x427b,April,Miedemac,30,Engineer,48090.45,4039.5375,8,8,17,5,"Student Loan, Mortgage Loan, Auto Loan, Student Loan, and Mortgage Loan",32,18,24.87,12,3088.85,23.25870956,0 Years and 6 Months,Yes,267.2899388,LowspentLargevaluepayments,294.4601079,2
43,CUS0x6578,February,Alan Wheatleyg,18,Mechanic,48776.85,4077.7375,10,5,30,4,"Mortgage Loan, Not Specified, Personal Loan, and Auto Loan",66,25,0.56,12,2574.82,34.31694593,6 Years and 6 Months,Yes,49.8751796,HighspentLargevaluepayments,462.5688014,1
44,CUS0x55f0,January,,45,Lawyer,51682.08,4415.84,7,5,18,7,"Student Loan, Not Specified, Debt Consolidation Loan, Home Equity Loan, Payday Loan, Credit-Builder Loan, and Credit-Builder Loan",27,21,14.08,6,382.05,22.39353471,17 Years and 7 Months,Yes,187.6700923,!@9#%8,289.5783085,2
45,CUS0x4312,May,Julia Edwardsf,52,Scientist,49715.1,,7,3,1,4,"Home Equity Loan, Auto Loan, Not Specified, and Not Specified",18,21,4.28,7,1211.28,25.05529061,32 Years and 8 Months,No,203.4381771,LowspentSmallvaluepayments,372.2839714,2
46,CUS0x2095,June,Victoria Bryane,20,,73842.33,5927.5275,4,5,5,3,"Home Equity Loan, Student Loan, and Home Equity Loan",32,18,5.83,4,344.09,29.67792577,19 Years and 0 Months,No,44.08273148,HighspentLargevaluepayments,676.0852039,2
47,CUS0x8099,June,ram,51,Writer,112400.24,9657.686667,7,7,19,4,"Personal Loan, Mortgage Loan, Personal Loan, and Personal Loan",22,15,18.63,4,57.91,34.55188094,32 Years and 6 Months,Yes,219.1397378,HighspentLargevaluepayments,783.1113654,2
48,CUS0x5f2f,July,,18,Scientist,18083.015,1780.917917,0,5,6,1,Mortgage Loan,10,7,4.78,3,796.31,26.83253645,27 Years and 11 Months,No,124.4375545,LowspentSmallvaluepayments,335.3033617,2
49,CUS0xc2d8,May,Annay,49,Engineer,16221.07,,0,3,3,2,"Auto Loan, and Home Equity Loan",6,7,5.39,2,197.05,37.05381687,16 Years and 3 Months,No,170.8563542,LowspentSmallvaluepayments,250.9672336,3
50,CUS0x4e35,April,Marshz,44,Engineer,41552.77,3482.730833,3,4,2,1,Credit-Builder Loan,18,1,10.6,9,28.85,34.90279417,,No,43.30369679,HighspentMediumvaluepayments,527.9055186,1
51,CUS0x716d,April,enm,54,Musician,57652.54,4968.378333,0,7,5,1,Payday Loan,12,1199,11.95,2,1401.5,23.88546043,30 Years and 5 Months,No,663.3965743,LowspentSmallvaluepayments,86.88131948,3
52,CUS0x5f7a,March,Dorisi,36,MediaManager,32597.48,2734.456667,1,2,2,2,"Auto Loan, and Credit-Builder Loan",14,8,6.3,2,1313.52,23.49036114,19 Years and 6 Months,No,324.5833641,LowspentSmallvaluepayments,193.8089177,3
53,CUS0xf01,April,Laurence Frostx,34,Developer,30256.85,2226.404167,0,5,5,3,"Home Equity Loan, Payday Loan, and Payday Loan",23,0,2.73,4,1483.23,22.72642658,20 Years and 1 Months,No,187.2873001,LowspentSmallvaluepayments,263.2479604,1
54,CUS0x2d62,August,Scheydera,28,Doctor,10024.25,812.6367937,9,5,22,8,"Credit-Builder Loan, Credit-Builder Loan, Personal Loan, Not Specified, Personal Loan, Not Specified, Payday Loan, and Mortgage Loan",43,2323,19.82,14,3038.04,26.57587162,8 Years and 2 Months,NM,93.22417229,LowspentSmallvaluepayments,220.8825345,2
55,CUS0x383a,June,Sakari Suoninens,41,Accountant,61876.14,5387.345,8,7,13,4,"Payday Loan, Auto Loan, Personal Loan, and Credit-Builder Loan",19,19,17.37,5,1282.29,23.56034114,10 Years and 10 Months,Yes,497.3795421,LowspentMediumvaluepayments,151.3746362,2
56,CUS0x27ae,April,Manoj Kumarl,38,Doctor,120061.95,9934.1625,3,5,9,2,"Debt Consolidation Loan, and Personal Loan",13,4,5.39,1,803.03,25.68483548,,No,291.9855065,HighspentSmallvaluepayments,825.793816,2
57,CUS0xb52d,August,Lasha,41,Manager,14241.48,,8,8,29,6,"Auto Loan, Home Equity Loan, Not Specified, Auto Loan, Credit-Builder Loan, and Debt Consolidation Loan",58,23,6.74,16,1596.22,27.1321663,9 Years and 10 Months,Yes,167.6726426,LowspentSmallvaluepayments,201.4694278,1
