ID号,用户标识,月,姓名,年龄,职业,年收入,月基本工资,银行账户数,信用卡数,信用卡利率,获得的贷款数量,贷款类型,平均延迟付款天数,平均延迟付款次数,信用卡限额变化率,信用卡查询次数,剩余债务,信用卡使用率,信用年龄,仅还款最低金额,月投资额,付款行为,月余额,评分等级
,,,,,,,,,,,,,,,,,,,,,,,,
5001,CUS0x1743,May,Terryh,23,Mechanic,42527.04,3374.92,8,6,22,7,"Auto Loan, Home Equity Loan, Not Specified, Not Specified, Student Loan, Mortgage Loan, and Mortgage Loan",22,18,18.9,15,4193.78,25.8138397,10 Years and 9 Months,Yes,10000,LowspentSmallvaluepayments,169.3377899,
5002,CUS0xa1a8,June,Roumeliotisb,38,Accountant,35033.11,3041.425833,3,5,17,-100,"Home Equity Loan, Not Specified, Payday Loan, and Auto Loan",14,19,19.48,0,44.59,41.24177708,23 Years and 10 Months,Yes,52.89472328,HighspentMediumvaluepayments,414.3840913,
5003,CUS0x7110,June,Jessica Toonkelj,34,Manager,87932.96,7206.746667,4,3,4,2,"Home Equity Loan, and Not Specified",13,9,10.7,3,649.7,36.26265036,21 Years and 9 Months,NM,220.7209889,HighspentMediumvaluepayments,632.5383961,
5004,CUS0x4505,May,Ross Kerberb,55,Developer,20257.28,1916.106667,4,5,16,1,Mortgage Loan,20,11,14.39,2,966.07,24.37071825,26 Years and 7 Months,Yes,184.2218879,LowspentSmallvaluepayments,286.6122775,
5005,CUS0xb483,July,Lisaf,42,Developer,82154.92,6753.243333,6,5,34,6,"Debt Consolidation Loan, Credit-Builder Loan, Debt Consolidation Loan, Mortgage Loan, Student Loan, and Payday Loan",20,15,22.75,7,4726.13,25.69147726,2 Years and 8 Months,Yes,150.5853839,HighspentLargevaluepayments,526.3662458,
5006,CUS0x9415,January,Davidf,33,Musician,139711,11526.58333,6,7,15,6,"Mortgage Loan, Payday Loan, Personal Loan, Home Equity Loan, Credit-Builder Loan, and Debt Consolidation Loan",7,10,11.82,8,1090.56,28.41016369,13 Years and 1 Months,Yes,952.3826549,LowspentSmallvaluepayments,,
5007,CUS0xb3ac,March,Niu Shupingj,17,Scientist,20188.33,1398.360833,7,10,30,-100,"Credit-Builder Loan, Student Loan, Payday Loan, Student Loan, Student Loan, and Student Loan",61,23,8.67,14,2412.24,35.88469728,6 Years and 10 Months,Yes,111.1815895,LowspentSmallvaluepayments,248.1898732,
5008,CUS0xb843,June,Caroline Valetkevitchr,27,Writer,29344.53,,5,7,10,2,"Auto Loan, and Credit-Builder Loan",18,13,8.19,7,779.69,25.73413157,,Yes,10000,HighspentMediumvaluepayments,397.3866148,
5009,CUS0x2c1a,March,Werrw,41,Journalist,8609.79,511.4825,8,8,28,6,"Home Equity Loan, Mortgage Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan",16,23,24.1,7,3688.7,28.44759963,6 Years and 5 Months,Yes,45.80389092,LowspentMediumvaluepayments,250.5132522,
5010,CUS0x25ca,July,Virkip,40,Doctor,18694.99,1657.915833,9,5,21,7,"Payday Loan, Payday Loan, Payday Loan, Home Equity Loan, Auto Loan, Mortgage Loan, and Mortgage Loan",56,,7.97,12,1959.49,31.84081127,10 Years and 7 Months,Yes,163.3261292,LowspentMediumvaluepayments,182.2429886,
5011,CUS0x37cc,August,Melissa Akinw,38,Entrepreneur,99664.98,8482.415,5,4,9,1,Auto Loan,18,15,7.19,6,702.98,32.75975602,30 Years and 4 Months,No,190.9880525,HighspentLargevaluepayments,825.5801437,
5012,CUS0x66ef,April,Rafaelt,38,Writer,35081.49,3047.4575,6,6,16,2,"Payday Loan, and Credit-Builder Loan",23,16,6.57,0,1025.79,37.66249382,26 Years and 1 Months,Yes,93.39688811,HighspentMediumvaluepayments,409.370311,
5013,CUS0xaaaf,August,Silvia Aloisiz,34,Mechanic,16173.51,1581.7925,8,6,17,2,"Student Loan, and Mortgage Loan",18,,17.59,10,751.55,36.9795216,6 Years and 3 Months,Yes,20.23737031,HighspentMediumvaluepayments,370.1805468,
5014,CUS0x24bb,April,Catherineu,27,Developer,25795.97,1932.664167,3,5,10,2,"Mortgage Loan, and Mortgage Loan",13,15,11.66,1,642.22,30.58148757,24 Years and 4 Months,Yes,38.26688049,HighspentSmallvaluepayments,379.071917,
5015,CUS0xad12,August,Sublerz,45,Scientist,80377.68,6807.14,10,7,28,5,"Student Loan, Home Equity Loan, Auto Loan, Credit-Builder Loan, and Payday Loan",32,19,2.84,12,1385.97,28.23965081,7 Years and 11 Months,Yes,89.09412158,HighspentLargevaluepayments,644.9576664,
5016,CUS0x949,July,Herbst-Baylissc,46,Teacher,22308.01,1593.000833,5,3,6,3,"Debt Consolidation Loan, Personal Loan, and Mortgage Loan",16,9,13.02,4,1228.86,31.5234606,28 Years and 7 Months,Yes,132.2518745,LowspentLargevaluepayments,246.2373607,
5017,CUS0x74c,April,,44,Mechanic,131573.6,11159.46667,3,5,7,4,"Home Equity Loan, Auto Loan, Home Equity Loan, and Debt Consolidation Loan",16,15,4.91,8,1384.27,27.99542572,32 Years and 4 Months,Yes,1497.705643,LowspentSmallvaluepayments,,
5018,CUS0x6420,April,,31,Teacher,19077.25,1450.770833,10,8,28,6,"Credit-Builder Loan, Mortgage Loan, Payday Loan, Home Equity Loan, Credit-Builder Loan, and Personal Loan",51,22,7.6,11,3851.38,38.51015117,11 Years and 7 Months,Yes,187.5830694,LowspentSmallvaluepayments,191.5351423,
5019,CUS0x2413,April,Felsenthalv,27,Manager,14623.51,1232.625833,9,5,15,7,"Home Equity Loan, Student Loan, Student Loan, Home Equity Loan, Credit-Builder Loan, Auto Loan, and Payday Loan",16,13,19.11,8,3607.96,26.30320765,13 Years and 11 Months,Yes,140.7792666,LowspentSmallvaluepayments,210.7995322,
